Name,Departments,Rating,Difficulty,Courses
Petra Van Koppen,Chemistry,4.1,3.4,"CHEM 1AL, CHEM 1BL, CHEM 1CL"
Amber Vanderwarker,Anthropology,4.6,2.9,"ANTH 133, ANTH 193, ANTH 186, ANTH 197AC, ANTH 162"
Gonzalo Vazquez-Bare,Economics,2.3,4.4,"ECON 140A, ECON 241C, ECON 245L, ECON 245I, ECON 290"
Christina Venegas,Film,2.4,3.3,"FAMST 96, FAMST 101C, FAMST 187LA, FAMST 242LA, FAMST 101CH"
Ty Vernon,Education; Psychology,5,1.6,"CNCSP 190, ED 190, CNCSP 199RA, CNCSP 197, CNCSP 99RA"
Giovanni Vigna,Computer Science,3.9,4.2,"CMPSC 189B, CMPSC 279, CMPSC 596, CMPSC 196"
Eric Vigoda,Computer Science,5,3.3,"CMPSC 130A, CMPSC 130B, CMPSC 190A, CMPSC 292A, CMPSC 196"
Natalia Villanueva-Nieves,Chicano Studies,4.1,2.8,"CH ST 1B, CH ST 180, CH ST 149, CH ST 193, CH ST 197HC"
Vojtech Vlcek,Chemistry,2.4,4.1,"CHEM 113B, CHEM 113C, CHEM 196, CHEM 222A, CHEM 115A"
Maharshi Vyas,Religion; Religious Studies,4,2.7,"RG ST 162D, RG ST 190NV, RG ST 28, RG ST 11A, RG ST 11B"
Candace Waid,English,3.1,3,"ENGL 134NA, ENGL 165EE, ENGL 34NA, ENGL 198H, ENGL 197"
Brian Wainwright,Statistics,3.9,4,"PSTAT 109, PSTAT 5LS, PSTAT 120A, PSTAT 10, PSTAT 5A"
David Walker,Religion; Religious Studies,4.9,3.4,"RG ST 13, RG ST 7, RG ST 150B, RG ST 190MP, RG ST 251B"
Janet Walker,Film,4.3,3,"FAMST 182, FAMST 183, FAMST 189CD, FAMST 252CJ, FAMST 595DD"
Vesna Wallace,Religion; Religious Studies,3.4,2.3,"RG ST 193B, RG ST 164C, RG ST 111B, RG ST 206M, RG ST 206F"
Casey Walsh,Anthropology,3.2,2.3,"ANTH 2, ANTH 147, ANTH 235A, ANTH 203, ANTH 596"
Joe Walther,Communication,4,3.4,"COMM 185, COMM 594CM, INT 200, COMM 199RA"
Mian Wang,Education,4,3.5,"ED 176B, ED 222A, ED 228H, ED 228E"
Richert Wang,Computer Science,5,4.1,"CMPSC 9, CMPSC 32, CMPSC 190J, CMPSC 24A"
Yuan-Fang Wang,Computer Science,2,4,"CMPSC 130B, CMPSC 265, CMPSC 181, CMPSC 165B, CMPSC 291K"
William Wang,Computer Science,5,3.5,"CMPSC 165B, CMPSC 190I, CMPSC 291A, CMPSC 596, CMPSC 196"
Yu-Xiang Wang,Computer Science,2.9,4.6,"CMPSC 291K, CMPSC 165A, CMPSC 292F, CMPSC 291A, CMPSC 596"
Rudolph Ware,History; Black Studies,3.1,3.2,"HIST 49A, HIST 49B, HIST 149IA, HIST 149BF, HIST 149H"
Nicole Warwick,Writing,4.8,2.3,"WRIT 2, WRIT 109ED, WRIT 1, WRIT 107B, WRIT 105R"
Adam Waterbury,Statistics,3.4,3.2,"PSTAT 160A, PSTAT 160B, PSTAT 5LS"
Miriam Wattles,Languages; East Asian Languages & Cultures; Art History,3.2,2.6,"ARTHI 6DW, ARTHI 134H, ARTHI 134J, JAPAN 134H, JAPAN 134J"
Marie Webb,Linguistics,2.5,5,"LING 141, LING 139, LING 3C, LING 12, LING 14"
Martha Webber,Writing,5,2.9,"WRIT 1, WRIT 105PD, WRIT 2, WRIT 107B, WRIT 107WC"
Elisabeth Weber,Germanic & Russian Studies; Literature,4.4,3.1,"C LIT 36, INT 136FC, GER 115C, INT 84AP, GER 190"
Rene Weber,Communication; Psychology,3.6,3.3,"COMM 87, COMM 154, COMM 133, COMM 199RA, PSY 594RW"
Gufong Wei,Mathematics,2.2,3.6,"MATH 4B, MATH 4A, MATH 147A, MATH 122A, MATH 8"
Thomas Weimbs,Biology,3,4,"MCDB 103L, MCDB 235, MCDB 218B, MCDB 199, BMSE 235"
David Weld,Physics,4.5,3.6,"PHYS 110B, PHYS 110A, PHYS 115C, PHYS 141, PHYS 250"
Sara Pankenier Weld,Literature; Germanic & Russian Studies; Germanic & Russian Studies,4.6,1.8,"C LIT 100, SLAV 35, SLAV 117A, SLAV 117I, INT 84CO"
Syee Weldeab,Geology,3.4,2.4,"EARTH 107, EARTH 105, INT 84ZW, EARTH 124I, EARTH 276"
Lily Anne Yumi Welty,Asian American Studies,3.4,4.3,"AS AM 4, AS AM 131, AS AM 111, AS AM 100BB"
Briana Westmacott,Linguistics,4,3.3,"LING 3C, LING 12, LING 8"
Jeremy White,Art History; Fine Arts,4,3.3,"ARTHI 6L, ARTHI 6J, ARTHI 136C, ARTHI 187W, ARTHI 136W"
Kevin Whitehead,Sociology,4.9,3.5,"SOC 185E, SOC 136C, SOC 136A"
Stephenson Whitestone,Communication,4.4,2,"COMM 128, COMM 127, COMM 126, COMM 89"
Ellen Whittet,Writing,4.4,2.4,"WRIT 107M, WRIT 105C, WRIT 105CW, WRIT 109V"
Jennifer Wicke,English,4.5,1.5,"ENGL 65FM, ENGL 65LC, ENGL 65WW, ENGL 122FC, ENGL 122LJ"
Nan Wilkenfeld,Communication,5,2.6,"COMM W 146, COMM 136, COMM 101"
Alison Williams,Writing,4,3,"WRIT 2, WRIT 107P, WRIT 109V, WRIT W 107WC, WRIT 107M"
Brent Wilson,Music,4,3,"MUS A 37, MUS A 137, MUS A 36, MUS 120B, MUS A 136"
Greg Wilson,Anthropology,3.9,3,"ANTH 143F, ANTH 112Z, ANTH 182M, ANTH 194P, ANTH 201B"
Wilson Muse,Biology,4,4,"MCDB 260, MCDB 172, MCDB 194MW, MCDB 596, MCDB 199"
Mike Wilton,Biology,5,4,"MCDB 1B, MCDB 1A, MCDB 110, MCDB 92, MCDB 194D"
Howard Winant,Sociology,2.5,2.6,"SOC 131, SOC 185S, SOC 216D, SOC 294"
Terrell Winder,Sociology,4.6,3,"SOC 144S, SOC 118QC, SOC 108F, SOC 146, SOC 211B"
Richard Wittman,Art History,3.9,3.9,"ARTHI 6F, ARTHI 142D, ARTHI 142A, ARTHI 142B, ARTHI 137GA"
Hannah Wohl,Sociology,3.6,3.6,"SOC 118CI, SOC 118C, SOC 196H, SOC 196HR, SOC 218C"
Charles Wolfe,Film,4.6,3.6,"FAMST 101B, FAMST 187CO, FAMST 187BK, FAMST 187CC, FAMST 230"
Elliot Wolfson,Religion; Religious Studies; Germanic & Russian Studies,2.8,4.3,"RG ST 26, RG ST 27, RG ST 132A, RG ST 132C, RG ST 132B"
Rich Wolski,Computer Science,4.8,4,"CMPSC 170, CMPSC 293B, CMPSC 270"
Vanessa Woods,Psychology,3.6,3.8,"PSY 10A, PSY 111, PSY W 1, PSY 120L, PSY 109"
Terrance Wooten,Black Studies,5,3.5,"BL ST 1, BL ST 133, BL ST 180, BL ST 190B, BL ST 190BH"
Daniel Wuebben,Writing,4.8,1.9,"WRIT 2, WRIT 109ST, WRIT 105M, WRIT 105R"
Andre Wyss,Geology,3.8,3.4,"EARTH 7, EARTH 149, EARTH 148, EARTH 596, EARTH 199RA"
Cenke XU,Physics,3.5,4.1,"PHYS 21, PHYS 215A, PHYS 123B"
Naoki Yamamoto,Film,3,3.5,"FAMST 192FT, FAMST 122JA, FAMST 187MF, INT 136FL, FAMST 155RW"
Kali Yamboliev,Writing; History,2.8,4,"WRIT 107P, WRIT 2, HIST 115B, WRIT 1, WRIT 50"
Lingqi Yan,Computer Science,2.8,3.9,"CMPSC 180, CMPSC 190I, CMPSC 280, CMPSC 292F, CMPSC 291A"
Xifeng Yan,Computer Science,3.5,2.7,"CMPSC 165B, CMPSC 165A, CMPSC 291K, CMPSC 291A, CMPSC 596"
Henry Yang,Mechanical Engineering,5,1,"ME 167, ME W 167"
Tao Yang,Computer Science,2.9,3.6,"CMPSC 170, CMPSC 140, CMPSC 293S, CMPSC 596"
XU Yang,Mathematics; Mechanical Engineering,2.9,3.5,"MATH 3B, MATH 4B, MATH 104B, MATH 104C, MATH 104A"
Salim Yaqub,History,5,3.3,"HIST 17C, HIST 171D, HIST 171ME, HIST 171C, HIST 171R"
Kim Yasuda,Fine Arts,3.6,3,"INT 84CF, ART 133M, INT 136PA, ART 12, ART 106PP"
Rick Ye,Mathematics,2.4,3.5,"MATH 4A, MATH 3A, MATH 147A, MATH 117, MATH 108B"
Enoch Yeung,Mechanical Engineering,4.6,3.5,"ME 155A, ME 107, ME 125EY, ME 125ML, ME 225ML"
Yoon Hwang,Music,4.5,3.5,"MUS 8, MUS 88"
Andrea Young,Physics,2.5,4.6,"PHYS 22, PHYS 115A, PHYS 115B, PHYS 199"
Hillary Young,Biology; Biology,2.8,3.8,"EEMB 120, EEMB 113, EEMB 113L, EEMB 596, EEMB 199"
Kay Young,English,4.8,3.5,"ENGL 170MT, ENGL 151JA, ENGL 197, ENGL 233, ENGL 195I"
Guo Yu,Statistics,3.1,3.9,"PSTAT 126, PSTAT 131, PSTAT 232, PSTAT 262DS, PSTAT 231"
Hongbo Yu,Psychology,3.5,3.9,"PSY 102, PSY 139, PSY 153"
Sevgi Yuksel,Economics,2.4,4,"ECON 100B, ECON 210B, ECON 278C, ECON 290"
Eric Zackrison,Business; Communication,3.3,3.4,"COMM 120, TMP 120, TMP 452A, TMP 452B, TMP 452C"
Armen Zakarian,Chemistry,4.5,2.9,"CHEM 109C, CHEM 233, CHEM 133, CHEM 596, CHEM 239AA"
Daniel Zanger,Statistics,1.6,3.1,"PSTAT 126, PSTAT 160A"
Adanari Zarate,Chicano Studies; Black Studies; Asian American Studies,5,2,"CH ST 138, AS AM 101C, CH ST 133, BL ST 101C, CH ST 101C"
Anthony Zee,Physics,2.5,3.1,"PHYS 120, PHYS 150"
Liming Zhang,Chemistry,2.1,4.3,"CHEM 109C, CHEM 109AH, CHEM 163, CHEM 232, CHEM 263"
Yitang Zhang,Mathematics,4.5,2.6,"MATH 108A, MATH 108B, MATH 115A, MATH 8, MATH 115B"
Zheng Zhang,Electrical & Comp. Engineering,3.9,3.5,"ECE 15A, ECE 273, ECE 594BB, ECE 194BB, ECE 196"
Xiaolei Zhao,Mathematics,5,3.5,"MATH 111A, MATH 122B, MATH 237A, MATH 220B, MATH 237C"
Xiaowei Zheng,History; Ethnic Studies; Languages,4.8,3.6,"EACS 4B, EACS 80, HIST 80, HIST 185B, CHIN 185B"
Hanming Zhou,Mathematics,3.5,2.2,"MATH 118A, MATH 118B, MATH 8, MATH 118C, MATH 201C"
Zimu Zhu,Statistics,3.3,3.9,"PSTAT 120A, PSTAT 160A, PSTAT 160B, PSTAT 170"
Lal Zimman,Linguistics,4.8,3,"LING 132, LING 131, LING 144, LING 230, LING 232"
Aaron Zimmerman,Philosophy,4.1,3.1,"PHIL 4, PHIL 100D, PHIL 100B, PHIL 134, PHIL 176"
Steven Zipperstein,History,5,2.4,"HIST 166LB, HIST 142AL, HIST 165S, HIST 108LT"
Pauline Ziserman,French,4.7,2.7,"FR 5, FR 2, FR 4, FR 3"
Benjamin Zulueta,Asian American Studies,3.5,3.8,"AS AM 1, AS AM 2, AS AM 100HH, AS AM 133, AS AM 137"
Stephen Zylstra,Philosophy,4.1,3,"PHIL 4, PHIL 20B, PHIL 161, PHIL 131, PHIL 160"
